source,area,iso,adm_id,id,sex,age2,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
DHS,Western Asia,IRQ,Babylon,2,2,30,38081,43035.40404,47989.95399,51483.44672,54998.70988,58625.2711,56811.99049,54004.88536,54178.54264,54260.61561,54260.86276,58983.93538,62244.75988,62441.81129,62645.45121,62854.38192,62913.1424,62979.92483,63012.58048,62953.03434,62773.06899
DHS,Western Asia,IRQ,Babylon,2,2,35,30012,32991.97524,35972.30653,40329.12682,44742.79368,48969.43827,46856.11597,50259.1253,50685.9101,51042.87316,51474.72776,54002.81233,54904.97257,55651.2188,56252.99565,56635.59058,56716.18656,56621.02444,56415.65912,56195.71204,56014.72754
DHS,Western Asia,IRQ,Babylon,2,2,4,67517,76967.40936,86418.17809,91072.07985,95776.06221,100793.2171,98284.63966,88333.82878,88737.51362,89352.26937,90098.49513,110331.9374,116840.4795,117656.8814,118150.7307,118282.4353,118389.8398,117845.8005,116816.4805,115506.9387,114061.7082
DHS,Western Asia,IRQ,Babylon,2,2,40,15461,16788.98626,18116.85156,19788.11292,21798.44261,24123.10378,22960.7732,38967.91193,41135.77679,43092.36531,44690.55375,44943.32359,45143.32783,45902.63198,46558.12109,47169.1209,47612.66502,47995.81672,48285.85699,48434.16666,48423.22362
DHS,Western Asia,IRQ,Babylon,2,2,45,26549,26798.16059,27047.77346,27254.70015,27602.58183,28530.57531,28066.57857,27428.74842,28151.07115,29234.82195,30627.58631,33040.2662,33195.03868,35327.00308,37243.20163,38754.97623,39801.99524,40481.36633,40896.26976,41207.0442,41503.18508
DHS,Western Asia,IRQ,Babylon,2,2,5,91680,96423.83879,101168.1322,107735.8203,114475.1371,121092.4988,117783.8179,118543.9736,117901.3631,117255.4741,117022.8083,124796.7737,123555.1989,124657.2167,125816.3289,126631.0129,127199.8389,127547.4583,127636.4833,127422.6869,126844.9687
DHS,Western Asia,IRQ,Babylon,2,2,50,19603,19624.92158,19647.13186,22737.22539,25538.90126,27560.57532,26549.73829,27747.35277,26247.22678,25038.64755,24480.85171,24125.88065,20549.592,21271.66123,22250.58571,23413.75535,24671.0813,26117.11482,27586.88544,28867.05061,29843.33495
DHS,Western Asia,IRQ,Babylon,2,2,55,13894,14539.97561,15185.57418,15383.1948,16009.33945,17358.12025,16683.72985,23212.09318,25269.62752,26760.14769,27317.37193,27789.00421,22968.06218,21869.1021,21004.01132,20635.17713,20553.37809,20807.98275,21360.67089,22158.36247,23153.59027
DHS,Western Asia,IRQ,Babylon,2,2,60,8222,9436.324375,10650.6544,11435.92552,12129.58014,12658.11609,12393.84812,18140.06236,17251.83335,16940.0871,17432.69826,15928.58738,15489.20821,16969.38291,18035.32945,18421.32554,18157.58801,17410.9972,16476.19319,15737.35226,15388.06312
DHS,Western Asia,IRQ,Babylon,2,2,65,5489,6275.145884,7060.912784,7520.159805,8022.014265,8574.412598,8298.213431,11373.26274,11454.69183,11427.45743,11256.55971,11149.18071,11045.81979,10537.02491,10397.48331,10743.63982,11380.75687,12405.98533,13490.08336,14216.735,14409.14512
DHS,Western Asia,IRQ,Babylon,2,2,70,6242,6422.209511,6602.122384,7057.838742,7540.083115,8041.821586,7790.95235,7503.982999,7483.762108,7503.016658,7572.508119,5889.651523,7318.128463,7404.557128,7405.140145,7288.700455,6996.653033,6593.800619,6239.447957,6130.014257,6333.052325
DHS,Western Asia,IRQ,Babylon,2,2,75,2793,3608.571484,4423.886824,4640.815848,4889.283067,5177.143163,5033.213115,3578.062492,3569.600157,3565.998221,3569.706119,4884.70218,5732.894152,5731.670708,5753.12459,5799.718188,5830.273338,5889.686016,5929.0146,5881.301532,5732.461737
DHS,Western Asia,IRQ,Babylon,2,2,80,4761,4849.156682,4937.703911,5159.323355,5293.250279,5333.654695,5313.452487,4600.197216,4533.438186,4407.905316,4233.56231,6791.752409,5392.437888,5399.194013,5327.852626,5182.608418,5345.7928,5416.72213,5403.575312,5322.510757,5185.501313
DHS,Western Asia,IRQ,Babylon,2,1,1,21650,24376.39301,27102.77608,28276.15397,29574.32033,31129.43971,30351.88002,31564.43726,32155.79404,32744.95919,33257.11979,30964.40985,33447.7727,33518.07184,33449.99222,33227.54835,32916.19413,32469.34361,31948.46906,31430.98312,30966.26977
DHS,Western Asia,IRQ,Babylon,2,1,10,76865,78773.11983,80681.55552,85476.18408,90475.3313,95751.57948,93113.45539,120119.9692,120930.424,121714.3021,122311.7708,112921.1089,112582.4728,112322.0833,112070.535,111974.6427,112087.0058,112328.4746,112610.004,112819.7392,112893.9582
DHS,Western Asia,IRQ,Babylon,2,1,15,67487,69383.30886,71280.04625,75663.17892,80178.71492,84750.98117,82464.84805,106785.256,106520.7488,106608.322,107147.6454,95663.7067,95585.16252,96655.17549,97383.6089,97599.95321,97361.08699,96735.68037,95914.59201,95172.08363,94657.11563
DHS,Western Asia,IRQ,Babylon,2,1,20,64356,67405.19695,70453.91262,74499.51283,78666.28785,83011.77375,80839.0308,82281.19529,82078.70795,81992.71821,82057.9604,77960.50131,77773.21067,78296.97665,78784.63293,79202.37424,79442.98563,79675.31502,79794.56056,79659.376,79211.72026
DHS,Western Asia,IRQ,Babylon,2,1,25,46975,52162.05448,57349.00332,61276.70737,65187.5231,69011.25054,67099.38682,68189.05995,67646.5864,67189.69146,66942.29989,62467.38463,66298.72915,66946.80304,67516.94214,67905.7384,67975.83051,67888.46688,67695.49563,67479.66277,67282.78634
DHS,Western Asia,IRQ,Babylon,2,1,30,38539,43553.07367,48567.22153,52102.73722,55660.28521,59330.47007,57495.37764,52520.90735,52689.79277,52769.61049,52769.85086,59163.59667,62434.35343,62632.00504,62836.26523,63045.83234,63104.7718,63171.75763,63204.51276,63144.78524,62964.27173
